BLZ;name;city;shortName;BIC
12070024;Deutsche Bank Privat und Geschäftskunden;Ludwigsfelde;Deutsche Bank PGK Ludwigsfe;DEUTDEDB164
12070024;Deutsche Bank Privat und Geschäftskunden;Lübben (Spreewald);Deutsche Bank PGK Lübben;DEUTDEDB184
12070024;Deutsche Bank Privat und Geschäftskunden;Nauen, Havelland;Deutsche Bank PGK Nauen;DEUTDEDB165
12070024;Deutsche Bank Privat und Geschäftskunden;Neuruppin;Deutsche Bank PGK Neuruppin;DEUTDEDB123
12070024;Deutsche Bank Privat und Geschäftskunden;Oranienburg;Deutsche Bank PGK Oranienbg;DEUTDEDB120
12070024;Deutsche Bank Privat und Geschäftskunden;Pritzwalk;Deutsche Bank PGK Pritzwalk;DEUTDEDB166
12070024;Deutsche Bank Privat und Geschäftskunden;Rathenow;Deutsche Bank PGK Rathenow;DEUTDEDB167
12070024;Deutsche Bank Privat und Geschäftskunden;Schwarzheide;Deutsche Bank PGK Schwarzhe;DEUTDEDB126
12070024;Deutsche Bank Privat und Geschäftskunden;Schwedt /Oder;Deutsche Bank PGK Schwedt;DEUTDEDB176
12070024;Deutsche Bank Privat und Geschäftskunden;Seelow;Deutsche Bank PGK Seelow;DEUTDEDB177
12070024;Deutsche Bank Privat und Geschäftskunden;Senftenberg, NL;Deutsche Bank PGK Senftenbe;DEUTDEDB185
12070024;Deutsche Bank Privat und Geschäftskunden;Spremberg, NL;Deutsche Bank PGK Spremberg;DEUTDEDB186
12070024;Deutsche Bank Privat und Geschäftskunden;Strausberg;Deutsche Bank PGK Strausber;DEUTDEDB178
12070024;Deutsche Bank Privat und Geschäftskunden;Teltow;Deutsche Bank PGK Teltow;DEUTDEDB127
12070024;Deutsche Bank Privat und Geschäftskunden;Weißwasser /O.L.;Deutsche Bank PGK Weißwass;DEUTDEDB189
12070024;Deutsche Bank Privat und Geschäftskunden;Werder (Havel);Deutsche Bank PGK Werder;DEUTDEDB168
12070024;Deutsche Bank Privat und Geschäftskunden;Wittstock /Dosse;Deutsche Bank PGK Wittstock;DEUTDEDB169
12070024;Deutsche Bank Privat und Geschäftskunden;Zossen b Berlin;Deutsche Bank PGK Zossen;DEUTDEDB124
12070070;Deutsche Bank (Gf intern);Potsdam;Deutsche Bank (Gf intern);DEUTDEFFVAC
12070088;Deutsche Bank (Gf intern);Potsdam;Deutsche Bank (Gf intern);DEUTDEDBPAL
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;Berlin;Commerzbank Fil II Berlin;DRESDEFF120
12090640;apoBank;Berlin;apoBank -ZV-Ost- Berlin;DAAEDED1040
12096597;Sparda-Bank Berlin;Berlin;Sparda-Bank Berlin;GENODEF1S10
13000000;Bundesbank;Rostock;BBk Rostock;MARKDEF1130
13010111;SEB;Rostock;SEB Rostock;ESSEDE5F130
13010111;SEB;Schwerin, Meckl;SEB Schwerin;ESSEDE5F131
13010111;SEB;Wismar, Meckl;SEB Wismar;ESSEDE5F132
13040000;Commerzbank;Rostock;Commerzbank Rostock;COBADEFFXXX
13050000;Ostseesparkasse Rostock;Rostock;Ostseesparkasse Rostock;NOLADE21ROS
13051042;Sparkasse Vorpommern auf Rügen;Bergen auf Rügen;Spk Vorpommern auf Rügen;NOLADE21RUE
13061008;Volksbank Wolgast;Wolgast;Volksbank Wolgast;GENODEF1WOG
13061078;Volks- und Raiffeisenbank;Wismar, Meckl;VB u Raiffbk;GENODEF1HWI
13070000;Deutsche Bank;Rostock;Deutsche Bank Rostock;DEUTDEBRXXX
13070000;Deutsche Bank;Anklam;Deutsche Bank Anklam;DEUTDEBB151
